Date,000001.SS,IMOEX.ME,^BVSP,^GSPC
2024-03-19,100.0,100.0,100.0,100.0
2024-03-20,100.55276786882219,100.06524185435819,101.25148005551678,100.89041739128466
2024-03-21,100.46875863139316,100.66524258716069,100.49400528507242,101.21695279884528
2024-03-22,99.51931634543637,100.26095246227993,99.60636404268833,101.07502761751634
2024-03-25,98.8098890646023,100.5102623380572,99.53108704686777,100.76624700110924
2024-03-26,98.97885612084895,100.63002320217191,99.47776584149489,100.48412214391132
2024-03-27,97.72697579738428,101.19817693695587,100.1270299304472,101.35136307388144
2024-03-28,98.29917762776374,101.46402721179794,100.45244611029649,101.46452040188625
2024-03-29,99.29510837303226,102.06923981537265,,
2024-04-01,100.47743934678932,103.01136210261075,99.5773510338825,101.26021301223469
2024-04-02,100.3984280970126,103.2563873270932,100.01568270746262,100.52718434847743
2024-04-03,100.21352646769255,104.00065294197394,99.83454743626939,100.63687180757917
2024-04-04,,104.3675776174303,99.92080232731378,99.39558278145446
2024-04-05,,103.99391564560985,99.42444463612198,100.4987936548167
2024-04-08,99.48728777384608,104.66803411599382,101.04133177551773,100.46114369142003
2024-04-09,99.53574513738448,104.57247816678539,101.85134361596187,100.60635959081195
2024-04-10,98.84348797681062,105.33359076136459,100.41167107089368,99.65492719498438
2024-04-11,99.06913874947799,105.34645219282545,99.89570999537361,100.39683796881418
2024-04-12,98.58682895539108,105.85824743405095,98.75871370433391,98.93599487364585
2024-04-15,99.82440084530559,106.34676497984756,98.27882285597785,97.7466501621598
2024-04-16,98.1817687599307,106.06345456403972,97.53781492836924,97.54563349057119
2024-04-17,100.28160910332036,105.79178673473454,97.36687341702671,96.98176093583874
2024-04-18,100.37446645286121,105.84538600259008,97.38647680135499,96.76760967897302
2024-04-19,100.08178525249282,106.30664030472022,98.11415442762038,95.92006591242277
2024-04-22,99.40703300561043,106.5605488900024,98.46623121015612,96.75756780293558
2024-04-23,98.66858232279523,105.3430798058552,98.13297367657552,97.91523110269794
2024-04-24,99.41444628873111,105.02179077935563,97.81383057971128,97.93608803208271
2024-04-25,99.67819177111225,105.35349606982321,97.73933771926386,97.4878903461081
2024-04-26,100.84498673540455,105.66008418105994,99.21351222074979,98.4831581238117
2024-04-29,101.64188278579063,106.52716898881556,99.86120803895584,98.79618178643183
2024-04-30,101.3735617931823,106.27448672606803,98.74146272612504,97.24206710651026
2024-05-01,,,,96.90799793467369
2024-05-02,,105.44752659343976,99.68085690313576,97.79261649613392
2024-05-03,,105.41505895657748,100.7684526656682,99.02057292815824
2024-05-06,102.54554605565909,105.23986681838171,100.73473484462359,100.0430716335577
2024-05-07,102.77468824553814,104.98136700117107,101.3181315622329,100.17747247960227
2024-05-08,102.1459063252762,105.13236170203697,101.53063224835135,100.17688788212402
2024-05-09,102.98959374331658,,100.5167452108932,100.68688317894303
2024-05-10,102.99700702643729,105.6603907616936,100.05567361149228,100.85295600771971
2024-05-13,102.78392694998641,105.88489751645011,100.49086874357988,100.82861978044026
2024-05-14,102.71055936090802,106.09377613646637,100.77315747790698,101.31640980207793
2024-05-15,101.8658356774852,106.30174249215807,100.39128355119227,102.50342555264263
2024-05-16,101.94742164817372,106.77770518712748,100.59202220671378,102.29004747308683
2024-05-17,102.97998836034836,107.25641963022339,100.48773220208737,102.40919221074776
2024-05-20,103.53893396510448,106.22119403884615,100.17407805283504,102.50303896398766
2024-05-21,103.10863672194506,105.00494379965718,99.90825616134369,102.75948867710116
2024-05-22,103.12737718282328,105.50295786752082,98.52660963388719,102.48140885729298
2024-05-23,101.75106530074136,105.44630027090511,97.80442095523371,101.72501515238947
2024-05-24,100.85266307050694,104.02852186933129,97.47273169239938,102.43719631575354
2024-05-27,102.00103642480791,101.0490142423155,97.62171741329423,
2024-05-28,101.52855520931006,101.16203033248969,97.06027648613257,102.46268288000628
2024-05-29,101.5757690543895,101.62513159599823,96.2188992307632,101.70783552972263
2024-05-30,100.94430878667752,100.52710931775563,,101.10012759311414
2024-05-31,100.78546524609031,98.53658594946938,95.74136078852653,101.91174690172767
2024-06-03,100.513684721359,96.21589019388384,95.6896078538999,102.02548882721072
2024-06-04,100.92866915067451,97.60977773876145,95.50925671807981,102.17881365936523
2024-06-05,100.0864245328974,98.38497808733615,95.19952324569314,103.38939245989944
2024-06-06,99.54413091571026,97.77669967742483,96.36945322240432,103.36873353933794
2024-06-07,99.6252704951571,99.02755614033526,94.69767660688942,103.25345468822663
2024-06-10,,97.42631540103326,94.6921876592775,103.51993684838597
2024-06-11,98.86666843628909,97.12493916056877,95.37830611076697,103.80051535096403
2024-06-12,99.1743356283423,,94.04606011181771,104.68320096914947
2024-06-13,98.89520559066767,97.14300498522543,93.75749829450555,104.92864704908393
2024-06-14,99.01647255423235,98.49738101624301,93.83120701957986,104.88731977896934
2024-06-17,98.4698425649832,,93.42032008405931,105.69121674347524
2024-06-18,98.93853742619896,,93.80611468763968,105.95769890363458
2024-06-19,98.54030063971851,,94.30090410808522,
2024-06-20,98.12851269054428,,94.44596915211442,105.69005697751035
